OrderID,Product,QuantityOrdered,PriceEach,Street,City,ZIP,Month,Hour,OrderDateTime
141266,27in 4K Gaming Monitor,1,389.99,834 4th St,Dallas (TX),75001,Jan,22,2019-01-02T22:21:00Z
141267,Apple Airpods Headphones,1,150,649 Sunset St,Los Angeles (CA),90001,Jan,8,2019-01-09T08:28:00Z
141268,AA Batteries (4-pack),1,3.84,611 Elm St,New York City (NY),10001,Jan,10,2019-01-14T10:13:00Z
141269,27in 4K Gaming Monitor,1,389.99,812 Jefferson St,Los Angeles (CA),90001,Jan,20,2019-01-03T20:05:00Z
141270,Wired Headphones,1,11.99,469 Hill St,San Francisco (CA),94016,Jan,23,2019-01-27T23:10:00Z
141271,USB-C Charging Cable,1,11.95,90 13th St,Boston (MA),02215,Jan,10,2019-01-30T10:51:00Z
141272,AAA Batteries (4-pack),1,2.99,818 Lincoln St,New York City (NY),10001,Jan,13,2019-01-12T13:09:00Z
141273,Wired Headphones,2,11.99,994 13th St,Boston (MA),02215,Jan,12,2019-01-29T12:04:00Z
141274,USB-C Charging Cable,1,11.95,8 Jackson St,Los Angeles (CA),90001,Jan,11,2019-01-17T11:30:00Z
141275,USB-C Charging Cable,1,11.95,610 Walnut St,Austin (TX),73301,Jan,16,2019-01-07T16:06:00Z
141275,Wired Headphones,1,11.99,610 Walnut St,Austin (TX),73301,Jan,16,2019-01-07T16:06:00Z
141276,Lightning Charging Cable,1,14.95,63 Cherry St,Los Angeles (CA),90001,Jan,22,2019-01-21T22:23:00Z
141277,Bose SoundSport Headphones,1,99.99,370 Lakeview St,Austin (TX),73301,Jan,19,2019-01-13T19:07:00Z
141278,Lightning Charging Cable,1,14.95,100 Cherry St,New York City (NY),10001,Jan,12,2019-01-26T12:14:00Z
141279,Lightning Charging Cable,1,14.95,938 14th St,Boston (MA),02215,Jan,19,2019-01-03T19:10:00Z
141280,AAA Batteries (4-pack),1,2.99,530 7th St,Los Angeles (CA),90001,Jan,16,2019-01-20T16:10:00Z
141281,Lightning Charging Cable,1,14.95,274 2nd St,Atlanta (GA),30301,Jan,16,2019-01-05T16:51:00Z
141282,Vareebadd Phone,1,400,125 Center St,New York City (NY),10001,Jan,18,2019-01-11T18:10:00Z
141283,Flatscreen TV,1,300,68 Hickory St,Seattle (WA),98101,Jan,16,2019-01-02T16:16:00Z
141284,Wired Headphones,1,11.99,462 1st St,Los Angeles (CA),90001,Jan,18,2019-01-29T18:30:00Z
141285,AAA Batteries (4-pack),3,2.99,447 Cedar St,Seattle (WA),98101,Jan,14,2019-01-14T14:13:00Z
141286,27in 4K Gaming Monitor,1,389.99,505 Hickory St,Dallas (TX),75001,Jan,20,2019-01-02T20:33:00Z
141287,Bose SoundSport Headphones,1,99.99,386 Elm St,San Francisco (CA),94016,Jan,8,2019-01-31T08:38:00Z
141288,Macbook Pro Laptop,1,1700,789 Washington St,Los Angeles (CA),90001,Jan,8,2019-01-19T08:17:00Z
141289,20in Monitor,1,109.99,534 Elm St,Atlanta (GA),30301,Jan,11,2019-01-28T11:17:00Z
141290,Apple Airpods Headphones,1,150,4 1st St,Los Angeles (CA),90001,Jan,8,2019-01-02T08:25:00Z
141290,AA Batteries (4-pack),3,3.84,4 1st St,Los Angeles (CA),90001,Jan,8,2019-01-02T08:25:00Z
141291,AA Batteries (4-pack),1,3.84,632 13th St,Los Angeles (CA),90001,Jan,18,2019-01-26T18:11:00Z
141292,AAA Batteries (4-pack),1,2.99,847 Ridge St,Los Angeles (CA),90001,Jan,8,2019-01-21T08:46:00Z
141293,USB-C Charging Cable,1,11.95,880 Washington St,Boston (MA),02215,Jan,12,2019-01-18T12:21:00Z
141294,Bose SoundSport Headphones,1,99.99,907 Highland St,San Francisco (CA),94016,Jan,8,2019-01-25T08:12:00Z
141295,AA Batteries (4-pack),1,3.84,898 Lakeview St,Austin (TX),73301,Jan,20,2019-01-06T20:06:00Z
141296,USB-C Charging Cable,1,11.95,889 Cedar St,Atlanta (GA),30301,Jan,0,2019-01-20T00:21:00Z
141297,Lightning Charging Cable,1,14.95,566 Highland St,San Francisco (CA),94016,Jan,11,2019-01-04T11:09:00Z
141298,Lightning Charging Cable,1,14.95,81 10th St,Dallas (TX),75001,Jan,13,2019-01-21T13:24:00Z
141299,AAA Batteries (4-pack),1,2.99,836 Hill St,Dallas (TX),75001,Jan,23,2019-01-31T23:23:00Z
141300,Apple Airpods Headphones,1,150,121 Cherry St,Boston (MA),02215,Jan,10,2019-01-23T10:21:00Z
141301,Apple Airpods Headphones,1,150,867 Hill St,New York City (NY),10001,Jan,11,2019-01-27T11:58:00Z
141302,AAA Batteries (4-pack),2,2.99,90 14th St,Portland (OR),97035,Jan,20,2019-01-18T20:12:00Z
141303,AA Batteries (4-pack),1,3.84,313 14th St,Seattle (WA),98101,Jan,9,2019-01-19T09:23:00Z
141304,USB-C Charging Cable,1,11.95,363 Willow St,Los Angeles (CA),90001,Jan,13,2019-01-28T13:10:00Z
141305,AAA Batteries (4-pack),3,2.99,756 Wilson St,Austin (TX),73301,Jan,16,2019-01-27T16:51:00Z
141306,Wired Headphones,1,11.99,458 Forest St,San Francisco (CA),94016,Jan,10,2019-01-19T10:25:00Z
141307,AAA Batteries (4-pack),1,2.99,895 Johnson St,Boston (MA),02215,Jan,11,2019-01-11T11:18:00Z
141308,27in FHD Monitor,1,149.99,926 Cedar St,Portland (OR),97035,Jan,12,2019-01-12T12:00:00Z
141309,AAA Batteries (4-pack),2,2.99,423 Elm St,San Francisco (CA),94016,Jan,7,2019-01-20T07:02:00Z
141310,AAA Batteries (4-pack),1,2.99,679 8th St,San Francisco (CA),94016,Jan,13,2019-01-07T13:32:00Z
141311,34in Ultrawide Monitor,1,379.99,223 North St,Atlanta (GA),30301,Jan,12,2019-01-28T12:45:00Z
141312,Apple Airpods Headphones,1,150,741 11th St,San Francisco (CA),94016,Jan,23,2019-01-08T23:20:00Z
141313,Lightning Charging Cable,1,14.95,38 Johnson St,Los Angeles (CA),90001,Jan,15,2019-01-09T15:03:00Z
141314,Macbook Pro Laptop,1,1700,700 Jefferson St,New York City (NY),10001,Jan,23,2019-01-13T23:51:00Z
141315,USB-C Charging Cable,1,11.95,842 8th St,Seattle (WA),98101,Jan,1,2019-01-10T01:32:00Z
141316,AAA Batteries (4-pack),3,2.99,235 South St,Seattle (WA),98101,Jan,7,2019-01-01T07:26:00Z
141317,27in FHD Monitor,1,149.99,875 Meadow St,New York City (NY),10001,Jan,11,2019-01-21T11:18:00Z
141318,Bose SoundSport Headphones,1,99.99,789 Lakeview St,Boston (MA),02215,Jan,15,2019-01-09T15:21:00Z
141319,Bose SoundSport Headphones,1,99.99,548 Maple St,Boston (MA),02215,Jan,10,2019-01-01T10:43:00Z
141320,AA Batteries (4-pack),1,3.84,326 12th St,Los Angeles (CA),90001,Jan,13,2019-01-24T13:37:00Z
141321,Bose SoundSport Headphones,1,99.99,207 8th St,Los Angeles (CA),90001,Jan,9,2019-01-10T09:07:00Z
141322,AAA Batteries (4-pack),2,2.99,816 Lake St,Boston (MA),02215,Jan,21,2019-01-12T21:56:00Z
141323,USB-C Charging Cable,1,11.95,240 River St,New York City (NY),10001,Jan,21,2019-01-17T21:54:00Z
141324,USB-C Charging Cable,1,11.95,851 Maple St,San Francisco (CA),94016,Jan,23,2019-01-04T23:36:00Z
141325,Bose SoundSport Headphones,1,99.99,880 Lake St,Austin (TX),73301,Jan,15,2019-01-23T15:17:00Z
141326,Google Phone,1,600,131 Center St,San Francisco (CA),94016,Jan,13,2019-01-05T13:49:00Z
141327,USB-C Charging Cable,1,11.95,238 Washington St,Los Angeles (CA),90001,Jan,1,2019-01-31T01:38:00Z
141328,ThinkPad Laptop,1,999.99,736 5th St,Seattle (WA),98101,Jan,23,2019-01-06T23:18:00Z
141329,USB-C Charging Cable,1,11.95,122 5th St,Portland (ME),04101,Jan,16,2019-01-01T16:01:00Z
141330,Wired Headphones,1,11.99,391 5th St,Portland (OR),97035,Jan,13,2019-01-21T13:04:00Z
141331,Flatscreen TV,1,300,299 Park St,San Francisco (CA),94016,Jan,18,2019-01-09T18:32:00Z
141332,USB-C Charging Cable,1,11.95,207 7th St,Los Angeles (CA),90001,Jan,18,2019-01-19T18:52:00Z
141333,27in FHD Monitor,1,149.99,554 10th St,Los Angeles (CA),90001,Jan,13,2019-01-01T13:58:00Z
141334,USB-C Charging Cable,1,11.95,459 4th St,San Francisco (CA),94016,Jan,2,2019-01-15T02:05:00Z
141335,AAA Batteries (4-pack),5,2.99,174 4th St,Los Angeles (CA),90001,Jan,18,2019-01-12T18:16:00Z
141336,iPhone,1,700,811 Hickory St,Portland (OR),97035,Jan,18,2019-01-09T18:23:00Z
141337,Bose SoundSport Headphones,1,99.99,947 Church St,San Francisco (CA),94016,Jan,9,2019-01-09T09:22:00Z
141338,AAA Batteries (4-pack),1,2.99,542 4th St,Dallas (TX),75001,Jan,16,2019-01-29T16:19:00Z
141339,AAA Batteries (4-pack),1,2.99,539 Lakeview St,Dallas (TX),75001,Jan,12,2019-01-28T12:52:00Z
141340,Lightning Charging Cable,1,14.95,710 Johnson St,Boston (MA),02215,Jan,14,2019-01-27T14:30:00Z
141341,LG Dryer,1,600,844 Walnut St,Austin (TX),73301,Jan,10,2019-01-13T10:09:00Z
141342,Wired Headphones,1,11.99,119 9th St,Seattle (WA),98101,Jan,21,2019-01-26T21:13:00Z
141343,Bose SoundSport Headphones,1,99.99,157 1st St,New York City (NY),10001,Jan,13,2019-01-24T13:36:00Z
141344,Apple Airpods Headphones,1,150,443 Washington St,Portland (OR),97035,Jan,12,2019-01-20T12:38:00Z
141345,USB-C Charging Cable,1,11.95,398 5th St,San Francisco (CA),94016,Jan,13,2019-01-09T13:55:00Z
141346,Apple Airpods Headphones,1,150,285 Cherry St,Boston (MA),02215,Jan,13,2019-01-14T13:59:00Z
141347,AA Batteries (4-pack),1,3.84,885 Walnut St,Atlanta (GA),30301,Jan,17,2019-01-27T17:46:00Z
141348,USB-C Charging Cable,2,11.95,493 5th St,Portland (OR),97035,Jan,18,2019-01-26T18:56:00Z
141349,Lightning Charging Cable,1,14.95,886 10th St,New York City (NY),10001,Jan,20,2019-01-03T20:51:00Z
141350,Lightning Charging Cable,1,14.95,804 River St,San Francisco (CA),94016,Jan,11,2019-01-01T11:17:00Z
141351,USB-C Charging Cable,2,11.95,865 Church St,San Francisco (CA),94016,Jan,17,2019-01-24T17:02:00Z
141352,Lightning Charging Cable,1,14.95,800 4th St,Los Angeles (CA),90001,Jan,19,2019-01-11T19:07:00Z
141353,USB-C Charging Cable,1,11.95,870 Cherry St,New York City (NY),10001,Jan,10,2019-01-26T10:35:00Z
141354,Bose SoundSport Headphones,1,99.99,869 Hill St,Atlanta (GA),30301,Jan,11,2019-01-03T11:12:00Z
141355,27in 4K Gaming Monitor,1,389.99,674 Main St,Dallas (TX),75001,Jan,15,2019-01-18T15:24:00Z
141356,Lightning Charging Cable,1,14.95,336 1st St,Boston (MA),02215,Jan,17,2019-01-09T17:32:00Z
141357,Lightning Charging Cable,1,14.95,850 River St,Atlanta (GA),30301,Jan,5,2019-01-23T05:30:00Z
141358,Lightning Charging Cable,1,14.95,911 Madison St,San Francisco (CA),94016,Jan,15,2019-01-05T15:31:00Z
141359,AAA Batteries (4-pack),2,2.99,383 11th St,Seattle (WA),98101,Jan,22,2019-01-09T22:21:00Z
141360,Macbook Pro Laptop,1,1700,263 Meadow St,Los Angeles (CA),90001,Jan,21,2019-01-17T21:00:00Z
141361,Apple Airpods Headphones,2,150,181 Lakeview St,Portland (OR),97035,Jan,15,2019-01-23T15:39:00Z
141362,Lightning Charging Cable,1,14.95,392 Cherry St,Atlanta (GA),30301,Jan,22,2019-01-02T22:17:00Z
141363,Wired Headphones,1,11.99,921 Highland St,Dallas (TX),75001,Jan,6,2019-01-08T06:24:00Z
141364,AA Batteries (4-pack),1,3.84,657 Lincoln St,Dallas (TX),75001,Jan,7,2019-01-01T07:46:00Z
141365,Vareebadd Phone,1,400,20 Dogwood St,New York City (NY),10001,Jan,11,2019-01-10T11:19:00Z
141365,Wired Headphones,1,11.99,20 Dogwood St,New York City (NY),10001,Jan,11,2019-01-10T11:19:00Z
141366,Flatscreen TV,1,300,803 Church St,Seattle (WA),98101,Jan,22,2019-01-17T22:34:00Z
141367,27in 4K Gaming Monitor,1,389.99,23 13th St,San Francisco (CA),94016,Jan,10,2019-01-09T10:06:00Z
141368,USB-C Charging Cable,1,11.95,387 Hill St,Los Angeles (CA),90001,Jan,21,2019-01-10T21:39:00Z
141369,Lightning Charging Cable,1,14.95,785 9th St,San Francisco (CA),94016,Jan,21,2019-01-21T21:03:00Z
141370,AAA Batteries (4-pack),2,2.99,375 Center St,Seattle (WA),98101,Jan,20,2019-01-24T20:53:00Z
141371,Lightning Charging Cable,1,14.95,685 West St,Atlanta (GA),30301,Jan,18,2019-01-23T18:34:00Z
141372,AAA Batteries (4-pack),1,2.99,134 Hickory St,Portland (ME),04101,Jan,10,2019-01-26T10:07:00Z
141373,27in FHD Monitor,1,149.99,82 Hickory St,San Francisco (CA),94016,Jan,13,2019-01-20T13:08:00Z
141374,Wired Headphones,1,11.99,386 12th St,Boston (MA),02215,Jan,10,2019-01-14T10:12:00Z
141375,27in 4K Gaming Monitor,1,389.99,49 Center St,Los Angeles (CA),90001,Jan,13,2019-01-10T13:51:00Z
141376,Wired Headphones,1,11.99,32 West St,Los Angeles (CA),90001,Jan,14,2019-01-20T14:57:00Z
141377,Wired Headphones,1,11.99,711 11th St,San Francisco (CA),94016,Jan,15,2019-01-20T15:12:00Z
141378,USB-C Charging Cable,1,11.95,777 North St,Boston (MA),02215,Jan,10,2019-01-22T10:25:00Z
141379,AA Batteries (4-pack),1,3.84,378 Center St,San Francisco (CA),94016,Jan,18,2019-01-25T18:00:00Z
141380,USB-C Charging Cable,1,11.95,868 14th St,Los Angeles (CA),90001,Jan,18,2019-01-17T18:45:00Z
141381,Bose SoundSport Headphones,1,99.99,336 Jackson St,Los Angeles (CA),90001,Jan,18,2019-01-03T18:22:00Z
141382,AAA Batteries (4-pack),1,2.99,613 Ridge St,Dallas (TX),75001,Jan,13,2019-01-16T13:50:00Z
141383,AAA Batteries (4-pack),1,2.99,418 11th St,Boston (MA),02215,Jan,10,2019-01-08T10:01:00Z
141384,Google Phone,1,600,223 Jackson St,Boston (MA),02215,Jan,0,2019-01-03T00:14:00Z
141384,USB-C Charging Cable,1,11.95,223 Jackson St,Boston (MA),02215,Jan,0,2019-01-03T00:14:00Z
141385,Macbook Pro Laptop,1,1700,502 Walnut St,Atlanta (GA),30301,Jan,12,2019-01-10T12:59:00Z
141386,Lightning Charging Cable,1,14.95,692 13th St,New York City (NY),10001,Jan,19,2019-01-08T19:27:00Z
141387,AAA Batteries (4-pack),1,2.99,807 Jackson St,San Francisco (CA),94016,Jan,11,2019-01-17T11:12:00Z
141388,Lightning Charging Cable,1,14.95,24 Park St,Dallas (TX),75001,Jan,10,2019-01-22T10:53:00Z
141389,AA Batteries (4-pack),1,3.84,176 Church St,Los Angeles (CA),90001,Jan,11,2019-01-26T11:07:00Z
141390,Wired Headphones,1,11.99,667 Park St,New York City (NY),10001,Jan,11,2019-01-26T11:22:00Z
141391,Bose SoundSport Headphones,1,99.99,375 Johnson St,New York City (NY),10001,Jan,10,2019-01-31T10:02:00Z
141392,Apple Airpods Headphones,1,150,755 Cherry St,Seattle (WA),98101,Jan,13,2019-01-25T13:51:00Z
141393,USB-C Charging Cable,1,11.95,240 Meadow St,Boston (MA),02215,Jan,17,2019-01-18T17:57:00Z
141394,iPhone,1,700,534 12th St,San Francisco (CA),94016,Jan,16,2019-01-06T16:54:00Z
141395,AAA Batteries (4-pack),1,2.99,790 Hickory St,Portland (ME),04101,Jan,16,2019-01-29T16:20:00Z
141396,USB-C Charging Cable,1,11.95,141 Elm St,San Francisco (CA),94016,Jan,14,2019-01-26T14:10:00Z
141397,Lightning Charging Cable,1,14.95,940 8th St,New York City (NY),10001,Jan,12,2019-01-13T12:59:00Z
141398,AAA Batteries (4-pack),1,2.99,33 Jackson St,Dallas (TX),75001,Jan,16,2019-01-04T16:31:00Z
141399,ThinkPad Laptop,1,999.99,830 Walnut St,Atlanta (GA),30301,Jan,9,2019-01-17T09:57:00Z
141400,Lightning Charging Cable,1,14.95,215 Park St,New York City (NY),10001,Jan,18,2019-01-18T18:09:00Z
141401,Apple Airpods Headphones,1,150,34 Cedar St,Portland (OR),97035,Jan,12,2019-01-23T12:50:00Z
141402,AAA Batteries (4-pack),1,2.99,939 Lakeview St,Atlanta (GA),30301,Jan,12,2019-01-07T12:56:00Z
141403,Lightning Charging Cable,1,14.95,216 Meadow St,Boston (MA),02215,Jan,16,2019-01-26T16:41:00Z
141404,AA Batteries (4-pack),1,3.84,200 14th St,San Francisco (CA),94016,Jan,20,2019-01-29T20:06:00Z
141405,Wired Headphones,1,11.99,247 Forest St,Los Angeles (CA),90001,Jan,11,2019-01-29T11:00:00Z
141406,USB-C Charging Cable,1,11.95,110 13th St,Seattle (WA),98101,Jan,12,2019-01-28T12:02:00Z
141407,Apple Airpods Headphones,1,150,946 12th St,Portland (ME),04101,Jan,16,2019-01-01T16:06:00Z
141408,Apple Airpods Headphones,1,150,103 14th St,San Francisco (CA),94016,Jan,13,2019-01-07T13:25:00Z
141409,Bose SoundSport Headphones,1,99.99,36 Highland St,Portland (ME),04101,Jan,21,2019-01-01T21:49:00Z
141410,27in FHD Monitor,1,149.99,890 6th St,Dallas (TX),75001,Jan,22,2019-01-03T22:02:00Z
141411,Wired Headphones,1,11.99,350 Main St,New York City (NY),10001,Jan,5,2019-01-15T05:35:00Z
141412,AA Batteries (4-pack),2,3.84,397 Dogwood St,Atlanta (GA),30301,Jan,17,2019-01-14T17:16:00Z
141413,AA Batteries (4-pack),1,3.84,793 5th St,San Francisco (CA),94016,Jan,17,2019-01-24T17:54:00Z
141414,Google Phone,1,600,609 14th St,New York City (NY),10001,Jan,3,2019-01-26T03:38:00Z
141415,Wired Headphones,1,11.99,81 Madison St,San Francisco (CA),94016,Jan,19,2019-01-12T19:02:00Z
141416,AAA Batteries (4-pack),1,2.99,209 North St,Atlanta (GA),30301,Jan,13,2019-01-02T13:37:00Z
141417,Bose SoundSport Headphones,1,99.99,207 1st St,San Francisco (CA),94016,Jan,8,2019-01-03T08:21:00Z
141418,Apple Airpods Headphones,1,150,145 Lakeview St,New York City (NY),10001,Jan,12,2019-01-10T12:48:00Z
141419,Wired Headphones,1,11.99,910 Meadow St,San Francisco (CA),94016,Jan,11,2019-01-22T11:53:00Z
141420,Lightning Charging Cable,2,14.95,74 7th St,San Francisco (CA),94016,Jan,12,2019-01-09T12:19:00Z
141421,Flatscreen TV,1,300,154 7th St,Dallas (TX),75001,Jan,13,2019-01-24T13:18:00Z
141422,Apple Airpods Headphones,1,150,970 Lakeview St,Boston (MA),02215,Jan,22,2019-01-16T22:23:00Z
141423,Lightning Charging Cable,2,14.95,440 South St,New York City (NY),10001,Jan,13,2019-01-06T13:41:00Z
141424,Apple Airpods Headphones,1,150,971 Walnut St,Atlanta (GA),30301,Jan,19,2019-01-13T19:49:00Z
141425,Wired Headphones,1,11.99,347 Hill St,Atlanta (GA),30301,Jan,14,2019-01-19T14:59:00Z
141426,Google Phone,1,600,824 Madison St,Dallas (TX),75001,Jan,12,2019-01-12T12:57:00Z
141427,USB-C Charging Cable,1,11.95,355 13th St,Los Angeles (CA),90001,Jan,14,2019-01-16T14:44:00Z
141428,AA Batteries (4-pack),1,3.84,295 West St,New York City (NY),10001,Jan,10,2019-01-22T10:06:00Z
141429,Apple Airpods Headphones,1,150,273 Hill St,Atlanta (GA),30301,Jan,6,2019-01-21T06:04:00Z
141430,34in Ultrawide Monitor,1,379.99,428 Cedar St,Los Angeles (CA),90001,Jan,21,2019-01-23T21:37:00Z
141431,USB-C Charging Cable,1,11.95,728 Lakeview St,Los Angeles (CA),90001,Jan,7,2019-01-04T07:16:00Z
141432,USB-C Charging Cable,1,11.95,574 Johnson St,San Francisco (CA),94016,Jan,22,2019-01-18T22:38:00Z
141433,Google Phone,1,600,179 West St,San Francisco (CA),94016,Jan,20,2019-01-15T20:08:00Z
141434,27in 4K Gaming Monitor,1,389.99,480 Lakeview St,San Francisco (CA),94016,Jan,19,2019-01-13T19:03:00Z
141435,USB-C Charging Cable,1,11.95,445 4th St,Atlanta (GA),30301,Jan,10,2019-01-15T10:55:00Z
141436,Bose SoundSport Headphones,1,99.99,792 Lakeview St,San Francisco (CA),94016,Jan,7,2019-01-03T07:59:00Z
141437,iPhone,1,700,377 Meadow St,New York City (NY),10001,Jan,15,2019-01-10T15:40:00Z
141438,Wired Headphones,2,11.99,331 Center St,Seattle (WA),98101,Jan,17,2019-01-29T17:36:00Z
141439,Flatscreen TV,1,300,536 Walnut St,Boston (MA),02215,Jan,20,2019-01-09T20:49:00Z
141440,Google Phone,1,600,222 Lakeview St,San Francisco (CA),94016,Jan,23,2019-01-31T23:10:00Z
141441,AA Batteries (4-pack),1,3.84,631 Elm St,Los Angeles (CA),90001,Jan,19,2019-01-20T19:08:00Z
141442,Google Phone,1,600,186 Meadow St,New York City (NY),10001,Jan,10,2019-01-06T10:27:00Z
141443,Lightning Charging Cable,1,14.95,485 Elm St,Los Angeles (CA),90001,Jan,19,2019-01-15T19:22:00Z
141444,AAA Batteries (4-pack),1,2.99,776 5th St,San Francisco (CA),94016,Jan,22,2019-01-22T22:56:00Z
141445,USB-C Charging Cable,1,11.95,112 Madison St,Los Angeles (CA),90001,Jan,21,2019-01-23T21:37:00Z
141446,Bose SoundSport Headphones,1,99.99,150 14th St,Seattle (WA),98101,Jan,20,2019-01-16T20:03:00Z
141447,AAA Batteries (4-pack),1,2.99,51 10th St,Boston (MA),02215,Jan,21,2019-01-15T21:14:00Z
141448,Bose SoundSport Headphones,1,99.99,895 Forest St,San Francisco (CA),94016,Jan,15,2019-01-07T15:50:00Z
141449,USB-C Charging Cable,1,11.95,450 Dogwood St,Boston (MA),02215,Jan,15,2019-01-25T15:41:00Z
141450,Google Phone,1,600,521 Park St,San Francisco (CA),94016,Jan,11,2019-01-12T11:16:00Z
141450,Bose SoundSport Headphones,1,99.99,521 Park St,San Francisco (CA),94016,Jan,11,2019-01-12T11:16:00Z
141451,AA Batteries (4-pack),1,3.84,678 Elm St,Portland (OR),97035,Jan,18,2019-01-18T18:01:00Z
141452,Bose SoundSport Headphones,1,99.99,593 14th St,Austin (TX),73301,Jan,13,2019-01-16T13:37:00Z
141453,Macbook Pro Laptop,1,1700,469 4th St,Atlanta (GA),30301,Jan,13,2019-01-06T13:09:00Z
141454,Bose SoundSport Headphones,1,99.99,87 North St,New York City (NY),10001,Jan,21,2019-01-12T21:43:00Z
141455,Apple Airpods Headphones,1,150,588 Main St,Los Angeles (CA),90001,Jan,9,2019-01-06T09:26:00Z
141456,AAA Batteries (4-pack),1,2.99,676 Cedar St,Boston (MA),02215,Jan,13,2019-01-05T13:28:00Z
141457,iPhone,1,700,820 Jackson St,Seattle (WA),98101,Jan,22,2019-01-09T22:11:00Z
141457,Apple Airpods Headphones,1,150,820 Jackson St,Seattle (WA),98101,Jan,22,2019-01-09T22:11:00Z
141458,iPhone,1,700,497 Park St,San Francisco (CA),94016,Jan,1,2019-01-29T01:12:00Z
141459,AAA Batteries (4-pack),1,2.99,344 Lakeview St,New York City (NY),10001,Jan,13,2019-01-07T13:20:00Z
141460,iPhone,1,700,855 2nd St,New York City (NY),10001,Jan,17,2019-01-26T17:29:00Z
141461,Lightning Charging Cable,1,14.95,233 Cherry St,Dallas (TX),75001,Jan,10,2019-01-02T10:34:00Z
141462,Wired Headphones,1,11.99,542 Wilson St,Atlanta (GA),30301,Jan,23,2019-01-30T23:34:00Z
141463,Apple Airpods Headphones,1,150,147 Center St,Boston (MA),02215,Jan,18,2019-01-22T18:14:00Z
